Name,Details
Weikfield Cooker Cake Mix Chocolate Flavoured Carton,"Manufacturer Address : Weikfield Foods Pvt. Ltd, Weikfied Estate Gat No. 485, Lonikand, Nagar Road, Taluka- Haveli, Dist. Pune 412216, India."
Ching's Secret Veg Hakka Noodles,Description : The Art Of Making Noodles Revived! Chings has mastered the ancient Chinese art of making Hakka Noodles in a hygienic way with advanced technology. Each noodle strand maintains its form without getting mushy and retains more flavours on its surface. Make mouth-watering Desi Chinese Chowmein at home with Chings Secret Hakka Noodles stir-fried with lots of crunchy vegetables.
Ching's Secret Veg Hakka Noodles,Country of Origin : India
Ching's Secret Veg Hakka Noodles,Shelf Life : 18 months
Ching's Secret Veg Hakka Noodles,FSSAI License : 10013022001865
Ching's Secret Veg Hakka Noodles,Manufacturer Name : Capital Foods Pvt. Ltd.
Ching's Secret Veg Hakka Noodles,"Manufacturer Address : VILLA CAPITAL, Sadhana Compound, Oshiwara Bridge,
S.V Road, Jogeshwari (West),
Mumbai- 400 102. India"
"Whiskas Adult (+1 year) Dry Cat Food Food, Chicken Flavour","Description : Whiskas Adult Cat Food is the nutrition that your cat needs for a healthy and active lifestyle. Whiskas cat food is a complete and balanced meal designed to take care of your cat�s daily nutritional requirements and provide it with all the vitamins and minerals needed for a healthy and happy life.This dry cat food helps support the cat's vital system by providing it a healthy and shiny coat, healthy eyesight, and energy to be lively and active."
"Whiskas Adult (+1 year) Dry Cat Food Food, Chicken Flavour",Country of Origin : Thailand
"Whiskas Adult (+1 year) Dry Cat Food Food, Chicken Flavour",Shelf Life : 18 months
"Whiskas Adult (+1 year) Dry Cat Food Food, Chicken Flavour",Manufacturer Name : Mars INT (Pet Food)
MTR Vada Breakfast Mix,"Description : MTR Rice Instant Vada Mix is a delicious, traditional breakfast for you and your family which is ready in an instant! Serve idlis made using this mix hot with Sambar, coconut chutney or potato curry."
MTR Vada Breakfast Mix,Country of Origin : India
MTR Vada Breakfast Mix,Shelf Life : 12 months
MTR Vada Breakfast Mix,Manufacturer Name : MTR Foods Pvt. Ltd
MTR Vada Breakfast Mix,"Manufacturer Address : MTR Foods Pvt. Ltd, # 80 Bommasandra Industrial Area, Hebbagodi, Anekal Taluk Bengaluru 560099."
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,"Description : In search of the perfect treat that will turn your day around. Look no more! Sunfeast YiPPee! Instant Pasta Treat Sour Cream & Onion is exactly what you need! A classic and delightful pasta snack that will leave you craving for more with each bite. Get ready to experience an Italian delicacy in a new, hot, and creamy avatar! Made with the choicest ingredients."
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,Country of Origin : India
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,Shelf Life : 12 months
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,FSSAI License : 10012031000312
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,"Ingredients : Milk Solids, Wheat Flour (3.0%), Iodised Salt, Whey Powder, Hydrogenated Vegetable Oil, Cornflour, Onion Powder (0.7%), Dairy Creamer (0.7%), Dehydrated Onion Bits (0.7%), Garlic Powder, Sugar, Yeast Extract Powder, White Pepper Powder, Acidity Regulator (Ins 330), Dehydrated Onion Leeks (0.1%), Thickener (Ins 1450) And Flavour Enhancers (Ins 627, Ins 631)."
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,Manufacturer Name : ITC
Sunfeast Yippee! Pasta Treat - Sour Cream Onion,"Nutritional Info : Energy (Kcal) - 353,Carbohydrate (g) - 72.0,Total Sugar (g) - 7.6,Added Sugar (g) - 0.6,Total Fat (g) - 3.0,Trans Fat (other than naturally occurring trans-fat) (g) - 0.02,Saturated Fat (g) - 1.6,Cholesterol (mg) - 2.0Sodium (mg) - 1245.0,Protein (g) - 11.0"
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,"Description : Nestle CERELAC Baby Cereal with Milk, Wheat Apple Carrot is a complementary food for babies from 6 to 24 months. While infants and children have higher requirements of nutrients than adults, 2 serves of CERELAC Wheat Apple Carrot Cereal provides 37% of a baby’s daily need of iron. It is also a source of 14 important nutrients including vitamins and minerals."
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,Country of Origin : India
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,Shelf Life : 12 months
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,"Ingredients : Wheat flour (Atta) (53.3%), Milk solids (34.8%), Sugar, Apple juice concentrate (4.2%), Soyabean oil, Carrot juice concentrate (1.1%), Minerals, Vitamins, Enzyme (Alpha amylase) and Packaging gases (Nitrogen and Carbon dioxide). Contains Wheat and Milk. May contains Barley and Oats."
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,Manufacturer Name : Nestle India Limited
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,"Manufacturer Address : Nestle India Limited, 100/101, World Trade Centre, Barakhamba Lane, New Delhi"
Nestle Cerelac with Milk Wheat Apple Carrot Baby Cereal,"Nutritional Info : Composition per 100g
Energy - 412 kcal
Protein- 15g
Carbohydrate - 68.1g
Total Sugars- 23.5g
Total Fat- 9.4g
Cholesterol - 12mg"
ITC Master Chef Chicken Seekh Kabab,Description : ITC Master Chef Chicken Seekh Kabab are juicy chicken mixed with our secret mixture of spices and herbs to create mouth watering chicken seekh kebabs for zingy Indian deliciousness.
ITC Master Chef Chicken Seekh Kabab,Country of Origin : India
ITC Master Chef Chicken Seekh Kabab,Shelf Life : 12 months
ITC Master Chef Chicken Seekh Kabab,Manufacturer Name : ITC Limited
ITC Master Chef Chicken Seekh Kabab,"Manufacturer Address : ITC Limited, 37, J.L. Nehru Road, Kolkata- 700071."
Betty Crocker Choco Fudge Instant Cake Mix Powder,Description : Betty Crocker Chocolate Fudge Cake is a delicious cake which is easier to make them at home.
Betty Crocker Choco Fudge Instant Cake Mix Powder,Country of Origin : India
Betty Crocker Choco Fudge Instant Cake Mix Powder,Shelf Life : 10 months
